id,condition,mode,condition_mode,station,time_frame_begin,time_frame_end,motion_sickness_score,name_of_audio_data,motionsickness_score_rating_begin,motionsickness_score_rating_accepted_timeStamp,average_velocity
8,Avatar,hybrid,AvatarHybrid,3,1637852166.301755,1637852211.346529,1,008_AvatarHybrid_3,1637852132.7280247,1637852155.3905528,0.0078466983753063
8,Avatar,Firstperson,AvatarFirstperson,0,1637853577.4702456,1637853622.5212266,0,008_AvatarFirstperson_0,1637853561.6901891,1637853570.943852,0.0072155878148508
8,Avatar,hybrid,AvatarHybrid,0,1637851198.951074,1637851243.9889638,0,008_AvatarHybrid_0,1637851162.6958938,1637851176.341839,0.0073011271964409
8,Avatar,Firstperson,AvatarFirstperson,4,1637853775.0853276,1637853820.1094968,0,008_AvatarFirstperson_4,1637853750.9746232,1637853758.3850076,0.0086378469669263
9,Blob,Firstperson,BlobFirstperson,3,1637930319.6612525,1637930364.722302,0,009_BlobFirstperson_3,1637930304.3707848,1637930312.115635,0.0235867273858235
9,Blob,Firstperson,BlobFirstperson,0,1637929152.966219,1637929198.0379214,0,009_BlobFirstperson_0,1637929133.286029,1637929145.1767654,0.0305872011999824
9,Blob,Firstperson,BlobFirstperson,2,1637929747.1177316,1637929792.1579103,0,009_BlobFirstperson_2,1637929736.330605,1637929741.9535863,0.0334873949208687
9,Blob,Firstperson,BlobFirstperson,1,1637929901.3525338,1637929946.4144282,0,009_BlobFirstperson_1,1637929891.9759548,1637929896.0752332,0.0221181244443819
9,Blob,hybrid,BlobHybrid,0,1637926823.4681416,1637926868.510582,0,009_BlobHybrid_0,1637926783.6616237,1637926798.2550702,0.0253589584153151
9,Blob,hybrid,BlobHybrid,2,1637927266.119738,1637927311.1747062,0,009_BlobHybrid_2,1637927249.7392385,1637927259.5995176,0.017989030046377
9,Blob,hybrid,BlobHybrid,3,1637927682.8595717,1637927727.8953552,0,009_BlobHybrid_3,1637927663.7150476,1637927676.3695972,0.0262477099616074
9,Blob,hybrid,BlobHybrid,1,1637927870.2355316,1637927915.3195438,0,009_BlobHybrid_1,1637927848.36061,1637927860.0583427,0.0386522638623445
9,Blob,Firstperson,BlobFirstperson,4,1637929345.9972732,1637929391.0186267,0,009_BlobFirstperson_4,1637929334.7250252,1637929339.8379543,0.0212341497911126
9,Blob,hybrid,BlobHybrid,4,1637928109.2550018,1637928154.273068,0,009_BlobHybrid_4,1637928072.5051703,1637928103.3485658,0.045225338070477
10,Avatar,hybrid,AvatarHybrid,0,1637938561.1587665,1637938606.2108898,0,010_AvatarHybrid_0,1637938547.694303,1637938555.4598174,0.0086174646145624
10,Avatar,hybrid,AvatarHybrid,4,1637938802.0017164,1637938847.0234444,3,010_AvatarHybrid_4,1637938785.814573,1637938794.819143,0.0108053354828721
10,Avatar,hybrid,AvatarHybrid,2,1637939077.3075695,1637939122.363443,0,010_AvatarHybrid_2,1637939065.1404302,1637939072.6433852,0.0086796218908259
10,Avatar,hybrid,AvatarHybrid,1,1637939467.1687996,1637939512.216454,0,010_AvatarHybrid_1,1637939453.745155,1637939458.1177104,0.007564199210341
10,Avatar,Firstperson,AvatarFirstperson,0,1637935982.247694,1637936027.303229,0,010_AvatarFirstperson_0,1637935893.0710008,1637935940.6123457,0.0079645521348638
10,Avatar,Firstperson,AvatarFirstperson,1,1637937118.4108973,1637937163.504238,3,010_AvatarFirstperson_1,1637937102.806608,1637937109.639199,0.0090189433054134
10,Avatar,Firstperson,AvatarFirstperson,3,1637936649.9006245,1637936694.9483604,3,010_AvatarFirstperson_3,1637936592.2759373,1637936626.259797,0.0089559574606985
10,Avatar,Firstperson,AvatarFirstperson,4,1637936920.141375,1637936965.163332,3,010_AvatarFirstperson_4,1637936901.6090946,1637936910.57372,0.0104137998695777
10,Avatar,hybrid,AvatarHybrid,3,1637939287.3858328,1637939332.4205244,0,010_AvatarHybrid_3,1637939270.8895204,1637939281.9464462,0.0101101981500127
10,Avatar,Firstperson,AvatarFirstperson,2,1637936328.0080726,1637936373.0755994,1,010_AvatarFirstperson_2,1637936289.7612145,1637936313.7124562,0.0099454066008181
11,Blob,hybrid,BlobHybrid,2,1638180075.955649,1638180121.0017884,3,011_BlobHybrid_2,1638180061.603998,1638180069.1156838,0.0077797814654748
11,Blob,hybrid,BlobHybrid,4,1638179335.9627454,1638179380.9785948,4,011_BlobHybrid_4,1638179311.660783,1638179329.8546774,0.008328790679541
11,Blob,hybrid,BlobHybrid,3,1638179549.4230564,1638179594.4643383,4,011_BlobHybrid_3,1638179535.3194108,1638179543.2265282,0.0079216329788801
11,Blob,hybrid,BlobHybrid,0,1638179067.0401037,1638179112.1265247,1,011_BlobHybrid_0,1638179052.56496,1638179062.4193904,0.0058278026576785
11,Blob,Firstperson,BlobFirstperson,3,1638177826.740402,1638177871.7794862,1,011_BlobFirstperson_3,1638177815.7266786,1638177820.498812,0.0057886075381908
11,Blob,Firstperson,BlobFirstperson,2,1638177079.236315,1638177124.2724147,1,011_BlobFirstperson_2,1638177061.7438602,1638177069.1131916,0.0058787596572659
11,Blob,Firstperson,BlobFirstperson,4,1638177389.6961737,1638177434.7163477,6,011_BlobFirstperson_4,1638177361.3129044,1638177380.1827407,0.0092566649488574
11,Blob,Firstperson,BlobFirstperson,1,1638177596.999169,1638177642.0774047,1,011_BlobFirstperson_1,1638177586.1479585,1638177591.756485,0.0057004218015761
11,Blob,hybrid,BlobHybrid,1,1638179740.908214,1638179785.9955304,3,011_BlobHybrid_1,1638179730.632094,1638179736.0413787,0.007255763515318
11,Blob,Firstperson,BlobFirstperson,0,1638176614.344645,1638176659.3787904,1,011_BlobFirstperson_0,1638176559.3823464,1638176592.631398,0.0062613127294917
12,Avatar,hybrid,AvatarHybrid,1,1638186484.2367804,1638186529.3345451,2,012_AvatarHybrid_1,1638186464.524619,1638186478.9088795,0.0075451635009385
12,Avatar,hybrid,AvatarHybrid,3,1638186288.934187,1638186333.999917,0,012_AvatarHybrid_3,1638186266.1257184,1638186281.6874545,0.0101794606021216
12,Avatar,hybrid,AvatarHybrid,4,1638186048.7385926,1638186093.7619686,0,012_AvatarHybrid_4,1638186033.856573,1638186042.749522,0.007898324281161
